"Model","Parameter","Type","N","ARE"
"F-diffusion","alpha","Numeric",150,0.00854702639861222
"F-diffusion","alpha","Numeric",1500,0.345687917596199
"F-diffusion","alpha","Numeric",4500,0.309170154204003
"F-diffusion","alpha","Numeric",15000,0.0658590260932189
"F-diffusion","alpha","Numeric",30000,0.0142135921430312
"F-diffusion","alpha","Numeric",150,0.041010257977692
"F-diffusion","alpha","Numeric",1500,0.176349906299127
"F-diffusion","alpha","Numeric",4500,0.185921892217632
"F-diffusion","alpha","Numeric",15000,0.0505534650263106
"F-diffusion","alpha","Numeric",30000,0.0119008644345515
"F-diffusion","alpha","Numeric",150,0.178960298225536
"F-diffusion","alpha","Numeric",1500,0.24399469426377
"F-diffusion","alpha","Numeric",4500,0.0648386182749833
"F-diffusion","alpha","Numeric",15000,0.107957959307475
"F-diffusion","alpha","Numeric",30000,0.170106568322071
"F-diffusion","alpha","Numeric",150,0.43958263418242
"F-diffusion","alpha","Numeric",1500,0.0283193029927427
"F-diffusion","alpha","Numeric",4500,0.0372760432834672
"F-diffusion","alpha","Numeric",15000,0.210125540449899
"F-diffusion","alpha","Numeric",30000,0.139011868578883
"F-diffusion","alpha","Numeric",150,0.127655072913662
"F-diffusion","alpha","Numeric",1500,0.177730507772689
"F-diffusion","alpha","Numeric",4500,0.193104075544977
"F-diffusion","alpha","Numeric",15000,0.130144491878881
"F-diffusion","alpha","Numeric",30000,0.0869383553471135
"F-diffusion","alpha","Numeric",150,0.0681780377418405
"F-diffusion","alpha","Numeric",1500,0.0923553926402785
"F-diffusion","alpha","Numeric",4500,0.269126666777744
"F-diffusion","alpha","Numeric",15000,0.126183933604111
"F-diffusion","alpha","Numeric",30000,0.118797427956576
"F-diffusion","alpha","Numeric",150,0.165756054848528
"F-diffusion","alpha","Numeric",1500,0.00503648648913328
"F-diffusion","alpha","Numeric",4500,0.377481060250424
"F-diffusion","alpha","Numeric",15000,0.117229954127781
"F-diffusion","alpha","Numeric",30000,0.0362662842519774
"F-diffusion","alpha","Numeric",150,0.226890385503997
"F-diffusion","alpha","Numeric",1500,0.119169869770674
"F-diffusion","alpha","Numeric",4500,0.28736936834247
"F-diffusion","alpha","Numeric",15000,0.00711799432627323
