"delta","Model","Type","Method","Parameter","ARE"
0.04,"Linear","Likelihood","Strang","running_time",0.0294527555
0.01,"Linear","Likelihood","Strang","alpha0",0.212458427630891
0.01,"Linear","Likelihood","Strang","mu0",0.0153757741230805
0.01,"Linear","Likelihood","Strang","sigma",0.00822896748149206
0.01,"Linear","Likelihood","Strang","running_time",0.116303391
0.004,"Linear","Likelihood","Strang","alpha0",0.211819971559435
0.004,"Linear","Likelihood","Strang","mu0",0.0105013569629739
0.004,"Linear","Likelihood","Strang","sigma",0.00518562687087484
0.004,"Linear","Likelihood","Strang","running_time",0.279563593
0.2,"t-diffusion","Likelihood","Strang","alpha0",0.202016109042342
0.2,"t-diffusion","Likelihood","Strang","mu0",0.0189988735145402
0.2,"t-diffusion","Likelihood","Strang","sigma",0.0495596730843194
0.2,"t-diffusion","Likelihood","Strang","running_time",0.026568754
0.1,"t-diffusion","Likelihood","Strang","alpha0",0.166089408483743
0.1,"t-diffusion","Likelihood","Strang","mu0",0.0154205698710593
0.1,"t-diffusion","Likelihood","Strang","sigma",0.0273225929918804
0.1,"t-diffusion","Likelihood","Strang","running_time",0.030547791
0.04,"t-diffusion","Likelihood","Strang","alpha0",0.192359202111064
0.04,"t-diffusion","Likelihood","Strang","mu0",0.0289950512430175
0.04,"t-diffusion","Likelihood","Strang","sigma",0.0192953526961782
0.04,"t-diffusion","Likelihood","Strang","running_time",0.0998333915
0.01,"t-diffusion","Likelihood","Strang","alpha0",0.249008440807612
0.01,"t-diffusion","Likelihood","Strang","mu0",0.0341585500277541
0.01,"t-diffusion","Likelihood","Strang","sigma",0.00842898164239818
0.01,"t-diffusion","Likelihood","Strang","running_time",0.4881549145
0.004,"t-diffusion","Likelihood","Strang","alpha0",0.176645706275034
0.004,"t-diffusion","Likelihood","Strang","mu0",0.0175749419689059
0.004,"t-diffusion","Likelihood","Strang","sigma",0.00523329711415069
0.004,"t-diffusion","Likelihood","Strang","running_time",0.4000167315
0.2,"F-diffusion","Likelihood","Strang","alpha0",0.193897735753152
0.2,"F-diffusion","Likelihood","Strang","mu0",0.0172953545340853
0.2,"F-diffusion","Likelihood","Strang","sigma",0.0441574674163736
0.2,"F-diffusion","Likelihood","Strang","running_time",0.0308812725
0.1,"F-diffusion","Likelihood","Strang","alpha0",0.168016407698874
0.1,"F-diffusion","Likelihood","Strang","mu0",0.0142281668746543
0.1,"F-diffusion","Likelihood","Strang","sigma",0.0273707740118508
0.1,"F-diffusion","Likelihood","Strang","running_time",0.055005394
0.04,"F-diffusion","Likelihood","Strang","alpha0",0.166175552991321
0.04,"F-diffusion","Likelihood","Strang","mu0",0.0218866942392331
0.04,"F-diffusion","Likelihood","Strang","sigma",0.0154313468385994
0.04,"F-diffusion","Likelihood","Strang","running_time",0.164374302
0.01,"F-diffusion","Likelihood","Strang","alpha0",0.204496681936391
0.01,"F-diffusion","Likelihood","Strang","mu0",0.0258176803817136
0.01,"F-diffusion","Likelihood","Strang","sigma",0.00855259170832276
0.01,"F-diffusion","Likelihood","Strang","running_time",0.7284726835
0.004,"F-diffusion","Likelihood","Strang","alpha0",0.183772392692445
0.004,"F-diffusion","Likelihood","Strang","mu0",0.0170841904302302
0.004,"F-diffusion","Likelihood","Strang","sigma",0.00523791350141113
0.004,"F-diffusion","Likelihood","Strang","running_time",0.7181401985
0.2,"Jacobi-diffusion","Likelihood","Strang","alpha0",0.2147411255604
0.2,"Jacobi-diffusion","Likelihood","Strang","mu0",0.00568478194056939
0.2,"Jacobi-diffusion","Likelihood","Strang","sigma",0.0610090608031252
0.2,"Jacobi-diffusion","Likelihood","Strang","running_time",0.0256012115
0.1,"Jacobi-diffusion","Likelihood","Strang","alpha0",0.193767838318835
0.1,"Jacobi-diffusion","Likelihood","Strang","mu0",0.00580113544928839
0.1,"Jacobi-diffusion","Likelihood","Strang","sigma",0.0343796993239249
0.1,"Jacobi-diffusion","Likelihood","Strang","running_time",0.039972966
0.04,"Jacobi-diffusion","Likelihood","Strang","alpha0",0.160666611960291
0.04,"Jacobi-diffusion","Likelihood","Strang","mu0",0.00556573475762631
0.04,"Jacobi-diffusion","Likelihood","Strang","sigma",0.0212820452253634
0.04,"Jacobi-diffusion","Likelihood","Strang","running_time",0.09190875
0.01,"Jacobi-diffusion","Likelihood","Strang","alpha0",0.227818132073332
0.01,"Jacobi-diffusion","Likelihood","Strang","mu0",0.00905923547043482
0.01,"Jacobi-diffusion","Likelihood","Strang","sigma",0.0301445909841007
0.01,"Jacobi-diffusion","Likelihood","Strang","running_time",0.4091577405
0.004,"Jacobi-diffusion","Likelihood","Strang","alpha0",0.239048331901092
0.004,"Jacobi-diffusion","Likelihood","Strang","mu0",0.00617048463087749
0.004,"Jacobi-diffusion","Likelihood","Strang","sigma",0.0306747037732379
0.004,"Jacobi-diffusion","Likelihood","Strang","running_time",0.8038467565
